GLfloat           : Float_t                 : float
GLdouble          : Double_t                : double
GLsizeiptr        : Size_Pointer_t          : modular
GLintptr          : Integer_Pointer_t       : modular
GLbitfield        : Bitfield_t              : modular
GLboolean         : Boolean_t               : boolean
GLboolean *       : System.Address          : access
GLbyte            : Byte_t                  : scalar
GLchar *          : System.Address          : access
GLclampd          : Clamped_Double_t        : double_sub
GLclampf          : Clamped_Float_t         : float_sub
GLdouble *        : System.Address          : access
GLenum            : Enumeration_t           : modular
GLenum *          : System.Address          : access
GLfloat *         : System.Address          : access
GLint             : Integer_t               : scalar
GLint *           : System.Address          : access
GLshort           : Short_t                 : scalar
GLshort *         : System.Address          : access
GLsizei           : Size_t                  : scalar
GLsizei *         : System.Address          : access
GLubyte           : Unsigned_Byte_t         : modular
GLubyte *         : System.Address          : access
GLuint            : Unsigned_Integer_t      : modular
GLuint *          : System.Address          : access
GLushort          : Unsigned_Short_t        : modular
GLushort *        : System.Address          : access
GLvoid *          : Void_Pointer_t          : address
GLvoid **         : System.Address          : access
const GLvoid **   : System.Address          : address_access_constant
const GLboolean * : System.Address          : access_constant
const GLbyte *    : System.Address          : access_constant
const GLclampf *  : System.Address          : access_constant
const GLenum *    : System.Address          : access_constant
const GLdouble *  : System.Address          : access_constant
const GLfloat *   : System.Address          : access_constant
const GLint *     : System.Address          : access_constant
const GLshort *   : System.Address          : access_constant
const GLushort *  : System.Address          : access_constant
const GLubyte *   : System.Address          : access_constant
const GLuint *    : System.Address          : access_constant
const GLvoid *    : System.Address          : address
const GLsizei *   : System.Address          : access_constant
const GLchar *    : System.Address          : access_constant
